PRODUCT;Hoofdproduct;SAPCODEPRODUCTCHANNEL;SAPCODEPRODUCTTEAM;VARIANTID;WORKCENTREID;IS_ACTIVE;;;;
Grootverbruik;NULL;oor_plus;grootverbruik_proces;37;;1;;;;
Grootverbruik;NULL;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;AVTPH1;Haarlem
Verzwaren;NULL;a_en_a;verzwaren;19;;1;;;SOMD01 ;Dokkum
Verzwaren;NULL;a_en_a;verzwaren;94;AVTPH1;1;;;;
Verzwaren;NULL;a_en_a;verzwaren;96;SOMD01;1;;;;
Communicatie Openbare Ruimte;NULL;oor_plus;communicatie_openbare_ruimte;32;;1;;;;
Communicatie Openbare Ruimte;NULL;oor_plus;communicatie_openbare_ruimte;94;AVTPH1;1;;;;
Aanleg;NULL;a_en_a;aanleg;35;;1;;;;
Aanleg;NULL;a_en_a;aanleg;94;AVTPH1;1;;;;
Elektrisch Vervoer;NULL;oor_plus;elektrisch_vervoer_proces;33;;1;;;;
Elektrisch Vervoer;NULL;oor_plus;elektrisch_vervoer_proces;33;AVTPH1;1;;;;
Verplaatsen;NULL;a_en_a;verplaatsen;35;;1;;;;
Verplaatsen;NULL;a_en_a;verplaatsen;94;AVTPH1;1;;;;
Verplaatsen;NULL;a_en_a;verplaatsen;96;SOMD01;1;;;;
Openbare Verlichting;NULL;oor_plus;openbare_verlichting;34;;1;;;;
Openbare Verlichting;NULL;oor_plus;openbare_verlichting;95;AVTPH1;1;;;;
Verlichten;NULL;a_en_a;verlichten;19;;1;;;;
Verlichten;NULL;a_en_a;verlichten;94;AVTPH1;1;;;;
Verlichten;NULL;a_en_a;verlichten;96;SOMD01;1;;;;
Aardgasloos;NULL;a_en_a;aardgasloos_renoveren;60;;1;;;;
Aardgasloos;NULL;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
Aardgasloos;NULL;a_en_a;aardgasloos_renoveren;96;SOMD01;1;;;;
Teruglevering;NULL;oor_plus;teruglevering_proces;39;;1;;;;
Teruglevering;NULL;oor_plus;teruglevering_proces;94;AVTPH1;1;;;;
Combi;NULL;combi;combi_aansluitingen;38;;1;;;;
Combi;NULL;combi;combi_aansluitingen;94;AVTPH1;1;;;;
Combi;NULL;combi;combi_aansluitingen;97;SOMD01;1;;;;
Sloop;NULL;a_en_a;sloop_proces;31;;1;;;;
Sloop;NULL;a_en_a;sloop_proces;94;AVTPH1;1;;;;
Sloop;NULL;a_en_a;sloop_proces;96;SOMD01;1;;;;
Default;NULL;;;40;;1;;;;
Grootverbruik Projecten;NULL;klant_en_combi;grootverbruik_projecten;52;;1;;;;
Elektrisch Vervoer Projecten;NULL;klant_en_combi;elektrisch_vervoer_projecten;51;;1;;;;
Sloop Projecten;NULL;klant_en_combi;sloop_projecten;54;;1;;;;
Large Connection;NULL;klant_en_combi;large_connection;53;;1;;;;
Teruglevering Projecten;NULL;klant_en_combi;teruglevering_projecten;55;;1;;;;
Woningbouw;NULL;klant_en_combi;woningbouw;56;;1;;;;
Werkzaamheden Voor Derden;NULL;klant_en_combi;werkzaamheden_voor_derden;42;;1;;;;
Werkzaamheden Voor Derden;NULL;klant_en_combi;werkzaamheden_voor_derden;94;AVTPH1;1;;;;
Reconstructies;NULL;klant_en_combi;reconstruction;57;;1;;;;
Elektrisch Vervoer EVE;NULL;oor_plus;elektrisch_vervoer_proces;46;;1;;;;
AGLR Plan Laagbouw groen;Aardgasloos;a_en_a;aardgasloos_renoveren;60;;0;;;;
AGLR Plan Laagbouw groen;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;0;;;;
AGLR Plan Laagbouw oranje;Aardgasloos;a_en_a;aardgasloos_renoveren;60;;0;;;;
AGLR Plan Laagbouw oranje;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;0;;;;
Combi Laagbouw Oranje;Combi;combi;combi_aansluitingen;38;;1;;;;
Combi Laagbouw Oranje;Combi;combi;combi_aansluitingen;94;AVTPH1;1;;;;
Combi Laagbouw Oranje;Combi;combi;combi_aansluitingen;97;SOMD01;1;;;;
Sloop Projectmatig Hoogbouw;Sloop;a_en_a;sloop_proces;305;;1;;;;
Sloop Projectmatig Hoogbouw;Sloop;a_en_a;sloop_proces;94;AVTPH1;1;;;;
Sloop Projectmatig Hoogbouw;Sloop;a_en_a;sloop_proces;96;SOMD01;1;;;;
