MANDT,UUID,VARIANTID,ATTRIBUTENAME,ATTRIBUTEVALUE,ATTRIBUTETEXT
100,09C3F29C96931EDF89F9136C0A6CD3C5,000016,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6CF3C5,000018,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6D13C5,000020,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6D33C5,000044,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6D53C5,000045,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6D73C5,000047,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6D93C5,000048,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6DB3C5,000049,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6DD3C5,000114,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6DF3C5,000115,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6E13C5,000117,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6E33C5,000121,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6E53C5,000122,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6E73C5,000123,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6E93C5,000124,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6EB3C5,000125,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6ED3C5,000126,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6EF3C5,000127,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6F13C5,000128,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6F33C5,000129,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6F53C5,000130,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6F73C5,000222,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6F93C5,000472,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6FB3C5,003000,IS_M17_MLST,X,true
100,09C3F29C96931EDF89F9136C0A6FD3C5,002001,IS_GENPLAN,X,true
100,09C3F29C96931EDF89F9136C0A6FF3C5,002002,IS_GENPLAN,X,true
100,09C3F29C96931EDF8CF883DC670153CE,002003,IS_GENPLAN,X,true
100,09C3F29C96931EDF8D8D46AAF4DB13CF,002001,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF8D90F590185213CF,002002,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF8D90F590185233CF,002003,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF90D49336BA63D3DC,002004,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF90D49336BA63F3DC,002005,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF90D49336BA6413DC,002006,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF90D49336BA6433DC,002007,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF90D495B37E02D3DC,002004,IS_GENPLAN,X,true
100,09C3F29C96931EDF90D495B37E02F3DC,002005,IS_GENPLAN,X,true
100,09C3F29C96931EDF90D495B37E0313DC,002006,IS_GENPLAN,X,true
100,09C3F29C96931EDF90D495B37E0333DC,002007,IS_GENPLAN,X,true
100,09C3F29C96931EDF92CB565E547093E5,009001,IS_GENPLAN,X,true
100,09C3F29C96931EDF92CB565E5470B3E5,009001,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF959C4DBC1C40F3E5,002008,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF959C4DBC1C4113E5,002008,IS_GENPLAN,X,true
100,09C3F29C96931EDF98D8B737E1A213E9,002009,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF98D8B737E1A233E9,002009,IS_GENPLAN,X,true
100,09C3F29C96931EDF98D8B8864AE453E9,002010,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF98D8B8864AE473E9,002010,IS_GENPLAN,X,true
100,09C3F29C96931EDF98D8B8864AE493E9,002011,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF98D8B8864AE4B3E9,002011,IS_GENPLAN,X,true
100,09C3F29C96931EDF98D8B970DEB013E9,002012,PLANNING_VALIDATOR,zcl_pam_genplan_validator,
100,09C3F29C96931EDF98D8B970DEB033E9,002012,IS_GENPLAN,X,true
