VARIANTID,TAAKID,TAAK_OMSCHRIJVING,TAAKMODUS,CNT
000019,9210_ASAP,Controleren oplevering,PB_CONTOPL,87709
000031,9210_ASAP,Controleren oplevering,PB_CONTOPL,4289
000032,9210_ASAP,Controleren oplevering,PB_CONTOPL,8763
000033,9210_ASAP,Controleren oplevering,PB_CONTOPL,9213
000034,9210_ASAP,Controleren oplevering,PB_CONTOPL,4746
000035,9210_ASAP,Controleren oplevering,PB_CONTOPL,14161
000036,,,,8480
000037,9210_ASAP,Controleren oplevering,PB_CONTOPL,1567
000038,9210_ASAP,Controleren oplevering,PB_CONTOPL,12023
000039,9210_ASAP,Controleren oplevering,PB_CONTOPL,822
000040,,,,4
000042,9210_ASAP,Controleren oplevering,PB_CONTOPL,3654
000046,9210_ASAP,Controleren oplevering,PB_CONTOPL,5485
000051,9210_ASAP,Controleren oplevering,PB_CONTOPL,472
000052,9210_ASAP,Controleren oplevering,PB_CONTOPL,6725
000053,9210_ASAP,Controleren oplevering,PB_CONTOPL,612
000054,9210_ASAP,Controleren oplevering,PB_CONTOPL,281
000055,9210_ASAP,Controleren oplevering,PB_CONTOPL,120
000056,9210_ASAP,Controleren oplevering,PB_CONTOPL,2753
000057,9210_ASAP,Controleren oplevering,PB_CONTOPL,105
000058,9210_ASAP,Controleren oplevering,PB_CONTOPL,1795
000060,9210_ASAP,Controleren oplevering,PB_CONTOPL,14204
000064,,,,2
000065,9210_ASAP,Controleren oplevering,PB_CONTOPL,12436
000068,,,,1
000069,,,,8
000072,,,,2
000084,9210_ASAP,Controleren oplevering,PB_CONTOPL,7
000085,9210_ASAP,Controleren oplevering,PB_CONTOPL,4
000086,9210_ASAP,Controleren oplevering,PB_CONTOPL,175
000087,9210_ASAP,Controleren oplevering,PB_CONTOPL,215
000088,9210_ASAP,Controleren oplevering,PB_CONTOPL,46
000089,9210_ASAP,Controleren oplevering,PB_CONTOPL,349
000090,9210_ASAP,Controleren oplevering,PB_CONTOPL,50
000091,9210_ASAP,Controleren oplevering,PB_CONTOPL,11
000094,9210_94,Controleren oplevering,PB_CONTOPL,3578
000095,9210_94,Controleren oplevering,PB_CONTOPL,64
000096,9210_96,Controleren oplevering,PB_CONTOPL,1286
000097,9210_96,Controleren oplevering,PB_CONTOPL,15
000131,9210_ASAP,Controleren oplevering,PB_CONTOPL,1864
000301,9210_ASAP,Controleren oplevering,PB_CONTOPL,1877
000302,9210_ASAP,Controleren oplevering,PB_CONTOPL,148
000303,9210_ASAP,Controleren oplevering,PB_CONTOPL,177
000304,9210_ASAP,Controleren oplevering,PB_CONTOPL,262
000305,9210_ASAP,Controleren oplevering,PB_CONTOPL,65
