TAAK_TAAKID,TAAK_OMSCHRIJVING,AUFNR,VARIANTID
9659_94,Inzichtelijk maken kosten,101000068982,94
9659_94,Inzichtelijk maken kosten,101000070661,94
9659_94,Inzichtelijk maken kosten,101000074133,94
9659_94,Inzichtelijk maken kosten,101000075904,94
9659_94,Inzichtelijk maken kosten,101000078992,94
9659_94,Inzichtelijk maken kosten,101000079204,94
9659_94,Inzichtelijk maken kosten,101000079303,94
9659_94,Inzichtelijk maken kosten,101000079638,94
9659_94,Inzichtelijk maken kosten,101000080092,94
9659_94,Inzichtelijk maken kosten,101000081473,94
9659_94,Inzichtelijk maken kosten,101000084461,94
9659_94,Inzichtelijk maken kosten,101000086840,94
9659_94,Inzichtelijk maken kosten,101000088873,94
9659_94,Inzichtelijk maken kosten,101000096396,94
9659_94,Inzichtelijk maken kosten,101000096545,94
9659_94,Inzichtelijk maken kosten,101000099755,94
9659_94,Inzichtelijk maken kosten,101000100312,94
9659_94,Inzichtelijk maken kosten,101000101377,94
9659_94,Inzichtelijk maken kosten,101000101551,94
9659_94,Inzichtelijk maken kosten,101000106769,94
9659_94,Inzichtelijk maken kosten,101000107118,94
9659_94,Inzichtelijk maken kosten,101000108977,94
9659_94,Inzichtelijk maken kosten,101000110048,94
9659_94,Inzichtelijk maken kosten,101000113692,94
9659_94,Inzichtelijk maken kosten,101000116227,94
9659_94,Inzichtelijk maken kosten,101000118282,94
9659_94,Inzichtelijk maken kosten,101000123469,94
9659_94,Inzichtelijk maken kosten,101000125788,94
9659_94,Inzichtelijk maken kosten,101000129876,94
9659_94,Inzichtelijk maken kosten,101000131072,94
9659_94,Inzichtelijk maken kosten,101000132012,94
9659_94,Inzichtelijk maken kosten,101000133598,94
9659_94,Inzichtelijk maken kosten,101000133946,94
9659_94,Inzichtelijk maken kosten,101000135570,94
9659_94,Inzichtelijk maken kosten,101000137136,94
9659_94,Inzichtelijk maken kosten,101000140099,94
9659_94,Inzichtelijk maken kosten,101000140356,94
9659_94,Inzichtelijk maken kosten,101000141720,94
9659_94,Inzichtelijk maken kosten,101000142739,94
9659_94,Inzichtelijk maken kosten,101000144549,94
9659_94,Inzichtelijk maken kosten,101000147753,94
9659_94,Inzichtelijk maken kosten,101000149587,94
9659_94,Inzichtelijk maken kosten,101000151064,94
9659_94,Inzichtelijk maken kosten,101000151165,94
9659_94,Inzichtelijk maken kosten,101000151487,94
9659_94,Inzichtelijk maken kosten,101000152574,94
9659_94,Inzichtelijk maken kosten,101000153176,94
9659_94,Inzichtelijk maken kosten,101000154207,94
9659_94,Inzichtelijk maken kosten,101000154223,94
9659_94,Inzichtelijk maken kosten,101000155118,95
9659_94,Inzichtelijk maken kosten,101000159219,94
9659_94,Inzichtelijk maken kosten,101000161529,94
9659_94,Inzichtelijk maken kosten,101000161607,94
9659_94,Inzichtelijk maken kosten,101000162512,94
9659_94,Inzichtelijk maken kosten,101000163903,94
9659_94,Inzichtelijk maken kosten,101000165859,94
9659_94,Inzichtelijk maken kosten,101000167410,94
9659_94,Inzichtelijk maken kosten,101000167812,94
9659_94,Inzichtelijk maken kosten,101000168849,94
9659_94,Inzichtelijk maken kosten,101000171069,94
9659_94,Inzichtelijk maken kosten,101000174676,94
9659_94,Inzichtelijk maken kosten,101000175972,94
9659_94,Inzichtelijk maken kosten,101000175987,94
9659_94,Inzichtelijk maken kosten,101000176085,94
9659_94,Inzichtelijk maken kosten,101000176441,94
9659_94,Inzichtelijk maken kosten,101000176762,94
9659_94,Inzichtelijk maken kosten,101000176941,94
9659_94,Inzichtelijk maken kosten,101000177171,94
9659_94,Inzichtelijk maken kosten,101000177488,94
9659_94,Inzichtelijk maken kosten,101000178889,95
9659_94,Inzichtelijk maken kosten,101000179281,94
9659_94,Inzichtelijk maken kosten,101000179499,94
9659_94,Inzichtelijk maken kosten,101000179994,94
9659_94,Inzichtelijk maken kosten,101000180112,94
9659_94,Inzichtelijk maken kosten,101000180525,94
9659_94,Inzichtelijk maken kosten,101000180729,94
9659_94,Inzichtelijk maken kosten,101000180913,94
9659_94,Inzichtelijk maken kosten,101000181192,94
9659_94,Inzichtelijk maken kosten,101000181642,94
9659_94,Inzichtelijk maken kosten,101000181867,94
9659_94,Inzichtelijk maken kosten,101000182032,94
9659_94,Inzichtelijk maken kosten,101000183116,94
9659_94,Inzichtelijk maken kosten,101000185021,94
9659_94,Inzichtelijk maken kosten,101000186470,94
9659_94,Inzichtelijk maken kosten,101000192678,95
9659_94,Inzichtelijk maken kosten,101000194195,95
9659_94,Inzichtelijk maken kosten,101000205128,95
9659_94,Inzichtelijk maken kosten,101000205231,95
9659_94,Inzichtelijk maken kosten,101000205612,95
9659_94,Inzichtelijk maken kosten,101000209930,95
9659_94,Inzichtelijk maken kosten,101000209932,95
9659_94,Inzichtelijk maken kosten,101000213590,95
9659_94,Inzichtelijk maken kosten,101000215068,95
9659_94,Inzichtelijk maken kosten,101000217777,95
9659_94,Inzichtelijk maken kosten,101000218476,95
9659_ASAP,Inzichtelijk maken kosten,101000002397,19
9659_ASAP,Inzichtelijk maken kosten,101000003225,19
9659_ASAP,Inzichtelijk maken kosten,101000004379,19
9659_ASAP,Inzichtelijk maken kosten,101000009928,19
9659_ASAP,Inzichtelijk maken kosten,101000010865,19
9659_ASAP,Inzichtelijk maken kosten,101000010997,33
9659_ASAP,Inzichtelijk maken kosten,101000011041,35
9659_ASAP,Inzichtelijk maken kosten,101000011112,35
9659_ASAP,Inzichtelijk maken kosten,101000011116,33
9659_ASAP,Inzichtelijk maken kosten,101000011391,33
9659_ASAP,Inzichtelijk maken kosten,101000011796,19
9659_ASAP,Inzichtelijk maken kosten,101000011994,19
9659_ASAP,Inzichtelijk maken kosten,101000012254,33
9659_ASAP,Inzichtelijk maken kosten,101000012262,33
9659_ASAP,Inzichtelijk maken kosten,101000012775,33
9659_ASAP,Inzichtelijk maken kosten,101000013030,19
9659_ASAP,Inzichtelijk maken kosten,101000013213,33
9659_ASAP,Inzichtelijk maken kosten,101000013900,33
9659_ASAP,Inzichtelijk maken kosten,101000014118,19
9659_ASAP,Inzichtelijk maken kosten,101000014584,34
9659_ASAP,Inzichtelijk maken kosten,101000015559,38
9659_ASAP,Inzichtelijk maken kosten,101000016137,33
9659_ASAP,Inzichtelijk maken kosten,101000017733,34
9659_ASAP,Inzichtelijk maken kosten,101000018268,19
9659_ASAP,Inzichtelijk maken kosten,101000018412,33
9659_ASAP,Inzichtelijk maken kosten,101000018738,34
9659_ASAP,Inzichtelijk maken kosten,101000018784,35
9659_ASAP,Inzichtelijk maken kosten,101000019525,32
9659_ASAP,Inzichtelijk maken kosten,101000021469,34
9659_ASAP,Inzichtelijk maken kosten,101000021511,32
9659_ASAP,Inzichtelijk maken kosten,101000021724,33
9659_ASAP,Inzichtelijk maken kosten,101000021745,34
9659_ASAP,Inzichtelijk maken kosten,101000022184,19
9659_ASAP,Inzichtelijk maken kosten,101000022491,19
9659_ASAP,Inzichtelijk maken kosten,101000022842,33
9659_ASAP,Inzichtelijk maken kosten,101000022999,38
9659_ASAP,Inzichtelijk maken kosten,101000024138,33
9659_ASAP,Inzichtelijk maken kosten,101000024454,33
9659_ASAP,Inzichtelijk maken kosten,101000025775,37
9659_ASAP,Inzichtelijk maken kosten,101000026071,19
9659_ASAP,Inzichtelijk maken kosten,101000026139,33
9659_ASAP,Inzichtelijk maken kosten,101000026293,32
9659_ASAP,Inzichtelijk maken kosten,101000026614,19
9659_ASAP,Inzichtelijk maken kosten,101000026944,38
9659_ASAP,Inzichtelijk maken kosten,101000027748,33
9659_ASAP,Inzichtelijk maken kosten,101000028561,33
9659_ASAP,Inzichtelijk maken kosten,101000028970,38
9659_ASAP,Inzichtelijk maken kosten,101000029128,35
9659_ASAP,Inzichtelijk maken kosten,101000029139,33
9659_ASAP,Inzichtelijk maken kosten,101000029515,37
9659_ASAP,Inzichtelijk maken kosten,101000029941,39
9659_ASAP,Inzichtelijk maken kosten,101000031818,38
9659_ASAP,Inzichtelijk maken kosten,101000031942,35
9659_ASAP,Inzichtelijk maken kosten,101000031989,33
9659_ASAP,Inzichtelijk maken kosten,101000032262,19
9659_ASAP,Inzichtelijk maken kosten,101000032411,33
9659_ASAP,Inzichtelijk maken kosten,101000033729,35
9659_ASAP,Inzichtelijk maken kosten,101000033815,33
9659_ASAP,Inzichtelijk maken kosten,101000035257,31
9659_ASAP,Inzichtelijk maken kosten,101000035299,33
9659_ASAP,Inzichtelijk maken kosten,101000035400,33
9659_ASAP,Inzichtelijk maken kosten,101000035710,33
9659_ASAP,Inzichtelijk maken kosten,101000035713,32
9659_ASAP,Inzichtelijk maken kosten,101000035754,19
9659_ASAP,Inzichtelijk maken kosten,101000035757,19
9659_ASAP,Inzichtelijk maken kosten,101000035897,33
9659_ASAP,Inzichtelijk maken kosten,101000035972,35
9659_ASAP,Inzichtelijk maken kosten,101000036863,19
9659_ASAP,Inzichtelijk maken kosten,101000037114,35
9659_ASAP,Inzichtelijk maken kosten,101000037763,37
9659_ASAP,Inzichtelijk maken kosten,101000037854,38
9659_ASAP,Inzichtelijk maken kosten,101000038037,33
9659_ASAP,Inzichtelijk maken kosten,101000038157,19
9659_ASAP,Inzichtelijk maken kosten,101000039478,46
9659_ASAP,Inzichtelijk maken kosten,101000039661,38
9659_ASAP,Inzichtelijk maken kosten,101000039856,39
9659_ASAP,Inzichtelijk maken kosten,101000041030,33
9659_ASAP,Inzichtelijk maken kosten,101000041556,33
9659_ASAP,Inzichtelijk maken kosten,101000041559,33
9659_ASAP,Inzichtelijk maken kosten,101000042338,46
9659_ASAP,Inzichtelijk maken kosten,101000042555,19
9659_ASAP,Inzichtelijk maken kosten,101000042749,35
9659_ASAP,Inzichtelijk maken kosten,101000044083,35
9659_ASAP,Inzichtelijk maken kosten,101000044245,34
9659_ASAP,Inzichtelijk maken kosten,101000044362,33
9659_ASAP,Inzichtelijk maken kosten,101000044712,35
9659_ASAP,Inzichtelijk maken kosten,101000044867,39
9659_ASAP,Inzichtelijk maken kosten,101000045837,34
9659_ASAP,Inzichtelijk maken kosten,101000047005,33
9659_ASAP,Inzichtelijk maken kosten,101000047089,34
9659_ASAP,Inzichtelijk maken kosten,101000047121,46
9659_ASAP,Inzichtelijk maken kosten,101000047781,32
9659_ASAP,Inzichtelijk maken kosten,101000047783,32
9659_ASAP,Inzichtelijk maken kosten,101000047860,19
9659_ASAP,Inzichtelijk maken kosten,101000047913,46
9659_ASAP,Inzichtelijk maken kosten,101000048146,31
9659_ASAP,Inzichtelijk maken kosten,101000048148,31
9659_ASAP,Inzichtelijk maken kosten,101000048233,31
9659_ASAP,Inzichtelijk maken kosten,101000048367,34
9659_ASAP,Inzichtelijk maken kosten,101000048369,34
9659_ASAP,Inzichtelijk maken kosten,101000048468,34
9659_ASAP,Inzichtelijk maken kosten,101000048520,46
9659_ASAP,Inzichtelijk maken kosten,101000048882,46
9659_ASAP,Inzichtelijk maken kosten,101000048926,46
9659_ASAP,Inzichtelijk maken kosten,101000048928,46
9659_ASAP,Inzichtelijk maken kosten,101000049355,46
9659_ASAP,Inzichtelijk maken kosten,101000049453,32
9659_ASAP,Inzichtelijk maken kosten,101000050017,46
9659_ASAP,Inzichtelijk maken kosten,101000050090,32
9659_ASAP,Inzichtelijk maken kosten,101000050309,46
9659_ASAP,Inzichtelijk maken kosten,101000050360,19
9659_ASAP,Inzichtelijk maken kosten,101000050434,32
9659_ASAP,Inzichtelijk maken kosten,101000050613,35
9659_ASAP,Inzichtelijk maken kosten,101000050648,37
9659_ASAP,Inzichtelijk maken kosten,101000050944,35
9659_ASAP,Inzichtelijk maken kosten,101000051087,35
9659_ASAP,Inzichtelijk maken kosten,101000051332,33
9659_ASAP,Inzichtelijk maken kosten,101000052127,32
9659_ASAP,Inzichtelijk maken kosten,101000052207,38
9659_ASAP,Inzichtelijk maken kosten,101000052388,37
9659_ASAP,Inzichtelijk maken kosten,101000052821,32
9659_ASAP,Inzichtelijk maken kosten,101000052877,35
9659_ASAP,Inzichtelijk maken kosten,101000053089,46
9659_ASAP,Inzichtelijk maken kosten,101000053105,33
9659_ASAP,Inzichtelijk maken kosten,101000053162,46
9659_ASAP,Inzichtelijk maken kosten,101000053237,33
9659_ASAP,Inzichtelijk maken kosten,101000053845,32
9659_ASAP,Inzichtelijk maken kosten,101000053944,32
9659_ASAP,Inzichtelijk maken kosten,101000054291,33
9659_ASAP,Inzichtelijk maken kosten,101000054375,35
9659_ASAP,Inzichtelijk maken kosten,101000054530,33
9659_ASAP,Inzichtelijk maken kosten,101000054667,19
9659_ASAP,Inzichtelijk maken kosten,101000054820,38
9659_ASAP,Inzichtelijk maken kosten,101000055281,19
9659_ASAP,Inzichtelijk maken kosten,101000055295,19
9659_ASAP,Inzichtelijk maken kosten,101000055317,38
9659_ASAP,Inzichtelijk maken kosten,101000055355,32
9659_ASAP,Inzichtelijk maken kosten,101000055357,32
9659_ASAP,Inzichtelijk maken kosten,101000055408,19
9659_ASAP,Inzichtelijk maken kosten,101000055598,33
9659_ASAP,Inzichtelijk maken kosten,101000055601,33
9659_ASAP,Inzichtelijk maken kosten,101000055718,34
9659_ASAP,Inzichtelijk maken kosten,101000056202,38
9659_ASAP,Inzichtelijk maken kosten,101000056473,19
9659_ASAP,Inzichtelijk maken kosten,101000056582,46
9659_ASAP,Inzichtelijk maken kosten,101000057093,38
9659_ASAP,Inzichtelijk maken kosten,101000057220,38
9659_ASAP,Inzichtelijk maken kosten,101000057488,33
9659_ASAP,Inzichtelijk maken kosten,101000057857,46
9659_ASAP,Inzichtelijk maken kosten,101000058069,19
9659_ASAP,Inzichtelijk maken kosten,101000058238,35
9659_ASAP,Inzichtelijk maken kosten,101000058748,39
9659_ASAP,Inzichtelijk maken kosten,101000059391,34
9659_ASAP,Inzichtelijk maken kosten,101000059436,34
9659_ASAP,Inzichtelijk maken kosten,101000059588,19
9659_ASAP,Inzichtelijk maken kosten,101000059927,33
9659_ASAP,Inzichtelijk maken kosten,101000060028,34
9659_ASAP,Inzichtelijk maken kosten,101000060250,33
9659_ASAP,Inzichtelijk maken kosten,101000060357,19
9659_ASAP,Inzichtelijk maken kosten,101000060397,46
9659_ASAP,Inzichtelijk maken kosten,101000060457,33
9659_ASAP,Inzichtelijk maken kosten,101000060471,46
9659_ASAP,Inzichtelijk maken kosten,101000061169,19
9659_ASAP,Inzichtelijk maken kosten,101000061347,33
9659_ASAP,Inzichtelijk maken kosten,101000061532,46
9659_ASAP,Inzichtelijk maken kosten,101000061742,19
9659_ASAP,Inzichtelijk maken kosten,101000061762,19
9659_ASAP,Inzichtelijk maken kosten,101000062420,19
9659_ASAP,Inzichtelijk maken kosten,101000062425,19
9659_ASAP,Inzichtelijk maken kosten,101000062686,34
9659_ASAP,Inzichtelijk maken kosten,101000062927,46
