TAAK_TAAKID,TAAK_OMSCHRIJVING,AUFNR,VARIANTID
9659_94,Inzichtelijk maken kosten,101000067768,94
9659_94,Inzichtelijk maken kosten,101000068745,94
9659_94,Inzichtelijk maken kosten,101000068982,94
9659_94,Inzichtelijk maken kosten,101000070454,94
9659_94,Inzichtelijk maken kosten,101000070661,94
9659_94,Inzichtelijk maken kosten,101000074036,94
9659_94,Inzichtelijk maken kosten,101000074133,94
9659_94,Inzichtelijk maken kosten,101000075904,94
9659_94,Inzichtelijk maken kosten,101000078992,94
9659_94,Inzichtelijk maken kosten,101000079204,94
9659_94,Inzichtelijk maken kosten,101000079303,94
9659_94,Inzichtelijk maken kosten,101000079638,94
9659_94,Inzichtelijk maken kosten,101000080092,94
9659_94,Inzichtelijk maken kosten,101000081473,94
9659_94,Inzichtelijk maken kosten,101000084065,94
9659_94,Inzichtelijk maken kosten,101000084461,94
9659_94,Inzichtelijk maken kosten,101000086840,94
9659_94,Inzichtelijk maken kosten,101000088873,94
9659_94,Inzichtelijk maken kosten,101000089450,94
9659_94,Inzichtelijk maken kosten,101000092985,94
9659_94,Inzichtelijk maken kosten,101000096396,94
9659_94,Inzichtelijk maken kosten,101000096545,94
9659_94,Inzichtelijk maken kosten,101000097574,94
9659_94,Inzichtelijk maken kosten,101000098040,94
9659_94,Inzichtelijk maken kosten,101000099755,94
9659_94,Inzichtelijk maken kosten,101000099801,94
9659_94,Inzichtelijk maken kosten,101000100312,94
9659_94,Inzichtelijk maken kosten,101000101377,94
9659_94,Inzichtelijk maken kosten,101000101551,94
9659_94,Inzichtelijk maken kosten,101000102120,94
9659_94,Inzichtelijk maken kosten,101000106769,94
9659_94,Inzichtelijk maken kosten,101000107053,94
9659_94,Inzichtelijk maken kosten,101000107118,94
9659_94,Inzichtelijk maken kosten,101000108856,94
9659_94,Inzichtelijk maken kosten,101000108977,94
9659_94,Inzichtelijk maken kosten,101000110048,94
9659_94,Inzichtelijk maken kosten,101000110603,94
9659_94,Inzichtelijk maken kosten,101000113582,94
9659_94,Inzichtelijk maken kosten,101000113692,94
9659_94,Inzichtelijk maken kosten,101000113971,94
9659_94,Inzichtelijk maken kosten,101000114582,94
9659_94,Inzichtelijk maken kosten,101000115189,94
9659_94,Inzichtelijk maken kosten,101000116227,94
9659_94,Inzichtelijk maken kosten,101000116394,94
9659_94,Inzichtelijk maken kosten,101000116482,94
9659_94,Inzichtelijk maken kosten,101000116555,94
9659_94,Inzichtelijk maken kosten,101000116605,94
9659_94,Inzichtelijk maken kosten,101000116719,94
9659_94,Inzichtelijk maken kosten,101000118232,94
9659_94,Inzichtelijk maken kosten,101000118282,94
9659_94,Inzichtelijk maken kosten,101000119913,94
9659_94,Inzichtelijk maken kosten,101000120987,94
9659_94,Inzichtelijk maken kosten,101000121275,94
9659_94,Inzichtelijk maken kosten,101000122219,94
9659_94,Inzichtelijk maken kosten,101000122991,94
9659_94,Inzichtelijk maken kosten,101000123075,94
9659_94,Inzichtelijk maken kosten,101000123469,94
9659_94,Inzichtelijk maken kosten,101000123579,94
9659_94,Inzichtelijk maken kosten,101000124734,94
9659_94,Inzichtelijk maken kosten,101000125788,94
9659_94,Inzichtelijk maken kosten,101000126521,94
9659_94,Inzichtelijk maken kosten,101000128843,94
9659_94,Inzichtelijk maken kosten,101000129214,94
9659_94,Inzichtelijk maken kosten,101000129876,94
9659_94,Inzichtelijk maken kosten,101000130499,94
9659_94,Inzichtelijk maken kosten,101000130549,94
9659_94,Inzichtelijk maken kosten,101000130640,95
9659_94,Inzichtelijk maken kosten,101000130715,94
9659_94,Inzichtelijk maken kosten,101000131072,94
9659_94,Inzichtelijk maken kosten,101000131205,94
9659_94,Inzichtelijk maken kosten,101000131533,94
9659_94,Inzichtelijk maken kosten,101000131707,94
9659_94,Inzichtelijk maken kosten,101000132012,94
9659_94,Inzichtelijk maken kosten,101000133598,94
9659_94,Inzichtelijk maken kosten,101000133946,94
9659_94,Inzichtelijk maken kosten,101000135570,94
9659_94,Inzichtelijk maken kosten,101000136495,94
9659_94,Inzichtelijk maken kosten,101000137136,94
9659_94,Inzichtelijk maken kosten,101000137636,94
9659_94,Inzichtelijk maken kosten,101000138876,94
9659_94,Inzichtelijk maken kosten,101000139111,94
9659_94,Inzichtelijk maken kosten,101000139581,94
9659_94,Inzichtelijk maken kosten,101000140099,94
9659_94,Inzichtelijk maken kosten,101000140356,94
9659_94,Inzichtelijk maken kosten,101000140749,94
9659_94,Inzichtelijk maken kosten,101000140857,94
9659_94,Inzichtelijk maken kosten,101000140906,94
9659_94,Inzichtelijk maken kosten,101000141720,94
9659_94,Inzichtelijk maken kosten,101000142681,94
9659_94,Inzichtelijk maken kosten,101000142686,94
9659_94,Inzichtelijk maken kosten,101000142739,94
9659_94,Inzichtelijk maken kosten,101000143615,94
9659_94,Inzichtelijk maken kosten,101000144292,94
9659_94,Inzichtelijk maken kosten,101000144458,94
9659_94,Inzichtelijk maken kosten,101000144549,94
9659_94,Inzichtelijk maken kosten,101000145891,94
9659_94,Inzichtelijk maken kosten,101000146955,94
9659_94,Inzichtelijk maken kosten,101000147367,94
9659_94,Inzichtelijk maken kosten,101000147671,94
9659_94,Inzichtelijk maken kosten,101000147708,94
9659_94,Inzichtelijk maken kosten,101000147753,94
9659_94,Inzichtelijk maken kosten,101000148505,94
9659_94,Inzichtelijk maken kosten,101000148857,94
9659_94,Inzichtelijk maken kosten,101000149208,94
9659_94,Inzichtelijk maken kosten,101000149345,94
9659_94,Inzichtelijk maken kosten,101000149587,94
9659_94,Inzichtelijk maken kosten,101000150116,94
9659_94,Inzichtelijk maken kosten,101000151064,94
9659_94,Inzichtelijk maken kosten,101000151165,94
9659_94,Inzichtelijk maken kosten,101000151487,94
9659_94,Inzichtelijk maken kosten,101000151606,94
9659_94,Inzichtelijk maken kosten,101000152574,94
9659_94,Inzichtelijk maken kosten,101000152748,94
9659_94,Inzichtelijk maken kosten,101000153176,94
9659_94,Inzichtelijk maken kosten,101000154207,94
9659_94,Inzichtelijk maken kosten,101000154223,94
9659_94,Inzichtelijk maken kosten,101000154447,94
9659_94,Inzichtelijk maken kosten,101000154895,94
9659_94,Inzichtelijk maken kosten,101000154964,94
9659_94,Inzichtelijk maken kosten,101000154979,94
9659_94,Inzichtelijk maken kosten,101000155019,94
9659_94,Inzichtelijk maken kosten,101000155089,94
9659_94,Inzichtelijk maken kosten,101000155118,95
9659_94,Inzichtelijk maken kosten,101000156045,94
9659_94,Inzichtelijk maken kosten,101000156324,94
9659_94,Inzichtelijk maken kosten,101000156836,94
9659_94,Inzichtelijk maken kosten,101000156883,94
9659_94,Inzichtelijk maken kosten,101000156920,94
9659_94,Inzichtelijk maken kosten,101000157668,94
9659_94,Inzichtelijk maken kosten,101000157691,94
9659_94,Inzichtelijk maken kosten,101000157719,94
9659_94,Inzichtelijk maken kosten,101000157816,94
9659_94,Inzichtelijk maken kosten,101000157819,94
9659_94,Inzichtelijk maken kosten,101000157958,94
9659_94,Inzichtelijk maken kosten,101000158080,94
