VARIANTID,TAAK_TAAKID,TAAK_TAAK_OMSCHRIJVING
19,9679_CM01,Aanvullen en afronden case gas lekzoeken
31,9679_CM01,Aanvullen en afronden case gas lekzoeken
32,9659_ASAP,Inzichtelijk maken kosten
33,9659_ASAP,Inzichtelijk maken kosten
34,9659_ASAP,Inzichtelijk maken kosten
35,9679_CM01,Aanvullen en afronden case gas lekzoeken
37,9679_CM01,Aanvullen en afronden case gas lekzoeken
38,9679_CM01,Aanvullen en afronden case gas lekzoeken
39,9659_ASAP,Inzichtelijk maken kosten
42,9673_AS02,Inzichtelijk maken kosten
46,9659_ASAP,Inzichtelijk maken kosten
51,9790_ASAP,Aanmaken oplevermap
52,9790_ASAP,Aanmaken oplevermap
53,9790_ASAP,Aanmaken oplevermap
54,9790_ASAP,Aanmaken oplevermap
55,9790_ASAP,Aanmaken oplevermap
56,9790_ASAP,Aanmaken oplevermap
57,9790_ASAP,Aanmaken oplevermap
58,9790_ASAP,Aanmaken oplevermap
60,9679_CM01,Aanvullen en afronden case gas lekzoeken
65,9679_CM01,Aanvullen en afronden case gas lekzoeken
86,9679_CM01,Aanvullen en afronden case gas lekzoeken
87,9679_CM01,Aanvullen en afronden case gas lekzoeken
88,9679_CM01,Aanvullen en afronden case gas lekzoeken
89,9679_CM01,Aanvullen en afronden case gas lekzoeken
90,9679_CM01,Aanvullen en afronden case gas lekzoeken
91,9679_CM01,Aanvullen en afronden case gas lekzoeken
94,9679_CM01,Aanvullen en afronden case gas lekzoeken
95,9659_94,Inzichtelijk maken kosten
96,9679_CM01,Aanvullen en afronden case gas lekzoeken
97,9679_CM01,Aanvullen en afronden case gas lekzoeken
301,9679_CM01,Aanvullen en afronden case gas lekzoeken
302,9679_CM01,Aanvullen en afronden case gas lekzoeken
303,9679_CM01,Aanvullen en afronden case gas lekzoeken
304,9679_CM01,Aanvullen en afronden case gas lekzoeken
305,9679_CM01,Aanvullen en afronden case gas lekzoeken
