PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE
101000213573;PD236092;504461;;3811 HS;combi_laagbouw_groen;KA1;E+G;PROCES
101000056202;PD075114;504461;;3832 CT;combi_laagbouw_groen;KA1;E;PROCES
101000081767;PD101535;504461;;3645 BD;combi_laagbouw_groen;KA1;E+G;PROCES
101000083025;PD102785;504461;;3645 TD;combi_laagbouw_groen;KA1;E;PROCES
101000093386;PD113397;504461;;3833 GL;combi_laagbouw_groen;KA1;E+G;PROCES
101000099926;PD119860;504461;;3648 CS;verplaatsen_laagbouw_oranje;KA1;E+G;PROCES
101000103392;PD123440;504461;;3645 ES;combi_laagbouw_groen;KA1;E+G;PROCES
101000103599;PD123665;504461;;3826 GA;combi_laagbouw_groen;KA1;E;PROCES
101000103891;PD123855;504461;;1231 KT;combi_laagbouw_oranje;KA1;E;PROCES
101000110910;PD131160;504461;;3819 AA;combi_laagbouw_groen;KA1;E;PROCES
101000112591;PD132857;504461;;3769 DN;combi_laagbouw_groen;KA1;E;PROCES
101000113003;PD133134;504461;;3769 DN;combi_laagbouw_groen;KA1;E;PROCES
101000114297;PD134618;504461;;3431 HA;combi_laagbouw_groen;KA1;E;PROCES
101000116286;PD136761;504461;;1426 AC;combi_laagbouw_groen;KA1;E;PROCES
101000116352;PD136861;504461;;3415 PR;combi_laagbouw_groen;KA1;E+G;PROCES
101000124487;PD145467;504461;;3761 CM;combi_laagbouw_groen;KA1;E+G;PROCES
101000128466;PD149490;504461;;3826 GA;combi_laagbouw_groen;KA1;E;PROCES
101000131554;PD152623;504461;;3402 PG;combi_laagbouw_groen;KA1;E;PROCES
101000132115;PD153079;504461;;3421 LA;combi_laagbouw_groen;KA1;E;PROCES
101000135181;PD156217;504461;;3461 GA;combi_laagbouw_groen;KA1;G;PROCES
101000135404;PD156304;504461;;3431 JB;combi_laagbouw_oranje;KA1;E;PROCES
101000137469;PD158410;504461;;1231 LG;combi_laagbouw_oranje;KA1;E;PROCES
101000139337;PD160300;504461;;3474 KX;combi_laagbouw_groen;KA1;E;PROCES
101000140211;PD161092;504461;;3402 CE;combi_laagbouw_groen;KA1;E;PROCES
101000141665;PD162598;504461;;3471 BS;combi_laagbouw_groen;KA1;E;PROCES
101000143305;PD163988;504461;;3741 AT;combi_laagbouw_groen;KA1;E+G;PROCES
101000143725;PD164328;504461;;3412 KL;combi_laagbouw_oranje;KA1;E+G;PROCES
101000144091;PD164692;504461;;3812 BD;combi_laagbouw_groen;KA1;E+G;PROCES
101000145140;PD165817;504461;;3417 MN;combi_laagbouw_groen;KA1;E+G;PROCES
101000145382;PD166108;504461;;3751 AR;combi_laagbouw_groen;KA1;E+G;PROCES
101000145596;PD166356;504461;;3403 NJ;combi_laagbouw_groen;KA1;E;PROCES
101000146313;PD167049;504461;;3404 VD;combi_laagbouw_groen;KA1;E+G;PROCES
101000146325;PD167070;504461;;3652 LR;aanleg_laagbouw_oranje;KA1;E;PROCES
101000146339;PD167101;504461;;3474 KK;combi_laagbouw_oranje;KA1;E+G;PROCES
101000146382;PD167176;504461;;3833 AZ;combi_laagbouw_groen;KA1;E;PROCES
101000147022;PD167888;504461;;3474 JD;combi_laagbouw_oranje;KA1;E+G;PROCES
101000147135;PD167932;504461;;3641 ZK;combi_laagbouw_groen;KA1;E;PROCES
101000148796;PD169816;504461;;3645 TE;combi_laagbouw_groen;KA1;G;PROCES
