PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000214639;PD237149;503400;X;3262 GP;verzwaren_zekeringwissel;KA1;E+G;PROCES;S01
101000214575;PD237152;864322;X;2902 GC;GASLOOS;KA1;E+G;PROCES;S03
101000214576;PD237154;501065;X;3761 AT;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000214494;PD237155;864322;X;2661 CV;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S03
101000214496;PD237159;501065;X;3752 NS;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000214644;PD237160;763193;X;9255 MA;GASLOOS;KA1;G;PROCES;S05
101000214645;PD237161;501065;X;3985 RZ;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000214646;PD237162;501065;X;3768 HH;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000214579;PD237164;862107;X;2904 AM;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000214497;PD237165;862107;X;3119 HE;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000214647;PD237167;503400;X;3291 XN;verzwaren_zekeringwissel;KA1;E+G;PROCES;S01
101000214581;PD237168;503400;X;3193 LX;verzwaren_zekeringwissel;KA1;E;PROCES;S01
101000214649;PD237170;501065;X;3731 ED;VERLICHT;KA1;E;PROCES;S05
101000207385;PD229202;503883;;3544 NX;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S05
101000214499;PD237172;504250;X;3445 CC;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000214442;PD236998;503883;;3762 AW;LAADPAAL;KA1;E;PROCES;S05
101000214519;PD236992;503883;;2521 CK;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214602;PD236991;503883;;2545 RJ;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214601;PD236989;503883;;2492 LA;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214195;PD236844;503883;;2517 TM;LAADPAAL;KA1;E;PROCES;S03
101000214421;PD236921;503883;;2553 VC;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214268;PD236846;503883;;2512 ZL;LAADPAAL;KA1;E;PROCES;S03
101000214289;PD236906;503883;;2517 XB;LAADPAAL;KA1;E;PROCES;S03
101000214293;PD236918;503883;;2512 AB;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214419;PD236916;503883;;2596 VP;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214375;PD236901;503883;;2531 VN;LAADPAAL;KA1;E;PROCES;S03
101000214416;PD236911;503883;;2585 DP;LAADPAAL;KA1;E;PROCES;S03
101000214290;PD236908;503883;;2583 PK;LAADPAAL;KA1;E;PROCES;S03
101000214415;PD236904;503883;;2515 TN;LAADPAAL;KA1;E;PROCES;S03
101000214370;PD236903;503883;;2572 JE;LAADPAAL;KA1;E;PROCES;S03
101000214650;PD237174;501065;X;3816 RA;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000214368;PD236895;503883;;2548 ES;LAADPAAL;KA1;E;PROCES;S03
101000214284;PD236893;503883;;2525 GT;LAADPAAL;KA1;E;PROCES;S03
101000214366;PD236890;503883;;2548 MS;LAADPAAL;KA1;E;PROCES;S03
101000214430;PD236954;503883;;2583 JC;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214384;PD236950;503883;;2542 JX;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214508;PD236949;503883;;2518 CP;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214382;PD236945;503883;;2533 CD;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214381;PD236944;503883;;2516 XJ;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214651;PD237175;504250;X;3607 DT;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000214380;PD236943;503883;;2597 RD;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214404;PD236872;503883;;2492 LG;LAADPAAL;KA1;E;PROCES;S03
101000214277;PD236873;503883;;2523 KL;LAADPAAL;KA1;E;PROCES;S03
101000214363;PD236876;503883;;2582 KB;LAADPAAL;KA1;E;PROCES;S03
101000214282;PD236885;503883;;2533 EH;LAADPAAL;KA1;E;PROCES;S03
101000214410;PD236888;503883;;2552 MV;LAADPAAL;KA1;E;PROCES;S03
101000214426;PD236938;503883;;2497 ZL;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214427;PD236939;503883;;2547 GJ;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214504;PD236941;503883;;2542 AS;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214379;PD236937;503883;;2497 BE;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214423;PD236928;503883;;2531 JP;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214424;PD236933;503883;;2518 TW;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214425;PD236935;503883;;2532 BM;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214274;PD236863;503883;;2518 DD;LAADPAAL;KA1;E;PROCES;S03
101000214298;PD236926;503883;;2583 GT;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S03
101000214374;PD236914;503883;;2583 GG;LAADPAAL;KA1;E;PROCES;S03
101000214400;PD236857;503883;;2596 ST;LAADPAAL;KA1;E;PROCES;S03
101000214356;PD236853;503883;;2518 VV;LAADPAAL;KA1;E;PROCES;S03
101000214198;PD236851;503883;;2573 AB;LAADPAAL;KA1;E;PROCES;S03
101000214269;PD236847;503883;;2596 PA;LAADPAAL;KA1;E;PROCES;S03
101000214353;PD236840;503883;;2564 LP;LAADPAAL;KA1;E;PROCES;S03
101000214414;PD236900;503883;;2512 JD;LAADPAAL;KA1;E;PROCES;S03
101000214403;PD236870;503883;;2564 XV;LAADPAAL;KA1;E;PROCES;S03
101000214275;PD236864;503883;;2552 AC;LAADPAAL;KA1;E;PROCES;S03
101000214505;PD236942;503883;;3437 KB;LAADPAAL;KA1;E;PROCES;S05
101000214506;PD236946;503883;;3831 PV;LAADPAAL;KA1;E;PROCES;S05
101000212787;PD235212;503883;;3708 XE;LAADPAAL;KA1;E;PROCES;S05
101000213587;PD236136;503883;;3971 NA;LAADPAAL;KA1;E;PROCES;S05
101000213713;PD236134;503883;;3951 VN;LAADPAAL;KA1;E;PROCES;S05
